Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AEGLG",,"Aesculus glabra Willd. var. glabra ",Ohio buckeye
"AEHI",,"Aesculus hippocastanum L.",horse chestnut
"AEPA",,"Aesculus pavia L.",red buckeye
"AEPAP",,"Aesculus pavia L. var. pavia ",red buckeye
"AECY2",,"Aethusa cynapium L.",fool's parsley
"AGGA",,"Agalinis gattingeri (Small) Small",roundstem false foxglove
"AGPA12",,"Agalinis paupercula (A. Gray) Britton",smallflower false foxglove
"AGPAB",,"Agalinis paupercula (A. Gray) Britton var. borealis Pennell",smallflower false foxglove
"AGPAP3",,"Agalinis paupercula (A. Gray) Britton var. paupercula ",smallflower false foxglove
"AGPU5",,"Agalinis purpurea (L.) Pennell",purple false foxglove
"AGSK",,"Agalinis skinneriana (Alph. Wood) Britton",Skinner's false foxglove
"AGTE3",,"Agalinis tenuifolia (Vahl) Raf.",slenderleaf false foxglove
"AGTEM",,"Agalinis tenuifolia (Vahl) Raf. var. macrophylla (Benth.) S.F. Blake",slenderleaf false foxglove
"AGTEP2",,"Agalinis tenuifolia (Vahl) Raf. var. parviflora (Nutt.) Pennell",slenderleaf false foxglove
"AGTET",,"Agalinis tenuifolia (Vahl) Raf. var. tenuifolia ",slenderleaf false foxglove
"AGFO",,"Agastache foeniculum (Pursh) Kuntze",blue giant hyssop
"AGNE2",,"Agastache nepetoides (L.) Kuntze",yellow giant hyssop
"AGSC",,"Agastache scrophulariifolia (Willd.) Kuntze",purple giant hyssop
"AGAL5",,"Ageratina altissima (L.) R.M. King & H. Rob.",white snakeroot
"AGALA",,"Ageratina altissima (L.) R.M. King & H. Rob. var. altissima ",white snakeroot
"AGGL",,"Agoseris glauca (Pursh) Raf.",pale agoseris
"AGGLG",,"Agoseris glauca (Pursh) Raf. var. glauca ",pale agoseris
"AGGR2",,"Agrimonia gryposepala Wallr.",tall hairy agrimony
"AGPA6",,"Agrimonia parviflora Aiton",harvestlice
"AGPU",,"Agrimonia pubescens Wallr.",soft agrimony
"AGST",,"Agrimonia striata Michx.",roadside agrimony
"AGCR",,"Agropyron cristatum (L.) Gaertn.",crested wheatgrass
"AGCRP8",,"Agropyron cristatum (L.) Gaertn. ssp. pectinatum (M. Bieb.) Tzvelev",crested wheatgrass
"AGGI",,"Agrostemma githago L.",common corncockle
"AGCA5",,"Agrostis capillaris L.",colonial bentgrass
"AGGI2",,"Agrostis gigantea Roth",redtop
"AGHU",,"Agrostis humilis Vasey",alpine bentgrass
"AGHY",,"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.",winter bentgrass
"AGME3",,"Agrostis mertensii Trin.",northern bentgrass
"AGPE",,"Agrostis perennans (Walter) Tuck.",upland bentgrass
"AGSC5",,"Agrostis scabra Willd.",rough bentgrass
"AGST2",,"Agrostis stolonifera L.",creeping bentgrass
"AIAL",,"Ailanthus altissima (Mill.) Swingle",tree of heaven
"AJGE",,"Ajuga genevensis L.",blue bugle
"AJRE",,"Ajuga reptans L.",common bugle
"ALPA24",,"Alcea pallida (Waldst. & Kit. ex Willd.) Waldst. & Kit.",hollyhock
"ALRO3",,"Alcea rosea L.",hollyhock
"ALFI5",,"Alchemilla filicaulis Buser",thinstem lady's mantle
"ALFIF2",,"Alchemilla filicaulis Buser ssp. filicaulis ",thin-stem lady's mantle
"ALMO4",,"Alchemilla monticola Opiz",hairy lady's mantle
"ALFA2",,"Aletris farinosa L.",white colicroot
"ALGR",,"Alisma gramineum Lej.",narrowleaf water plantain
"ALSU",,"Alisma subcordatum Raf.",American water plantain
"ALTR7",,"Alisma triviale Pursh",northern water plantain
"ALPE4",,"Alliaria petiolata (M. Bieb.) Cavara & Grande",garlic mustard
"ALBU2",,"Allium burdickii (Hanes) A.G. Jones",narrowleaf wild leek
"ALCA3",,"Allium canadense L.",meadow garlic
"ALCAC",,"Allium canadense L. var. canadense ",meadow garlic
"ALCE2",,"Allium cernuum Roth",nodding onion
"ALCEC2",,"Allium cernuum Roth var. cernuum ",nodding onion
"ALOL",,"Allium oleraceum L.",field garlic
"ALSA2",,"Allium sativum L.",cultivated garlic
"ALSC",,"Allium schoenoprasum L.",wild chives
"ALSCS2",,"Allium schoenoprasum L. var. schoenoprasum ",wild chives
"ALSCS",,"Allium schoenoprasum L. var. sibiricum (L.) Hartm.",wild chives
"ALST",,"Allium stellatum Fraser ex Ker Gawl.",autumn onion
"ALTR3",,"Allium tricoccum Aiton",ramp
"ALVI",,"Allium vineale L.",wild garlic
"ALVIV",,"Allium vineale L. ssp. vineale ",wild garlic
"ALGL2",,"Alnus glutinosa (L.) Gaertn.",European alder
"ALIN2",,"Alnus incana (L.) Moench",gray alder
"ALINR",,"Alnus incana (L.) Moench ssp. rugosa (Du Roi) R.T. Clausen",speckled alder
"ALVI5",,"Alnus viridis (Chaix) DC.",green alder
"ALVIC",,"Alnus viridis (Chaix) DC. ssp. crispa (Aiton) Turrill",mountain alder
"ALAE",,"Alopecurus aequalis Sobol.",shortawn foxtail
"ALAEA",,"Alopecurus aequalis Sobol. var. aequalis ",shortawn foxtail
"ALGE2",,"Alopecurus geniculatus L.",water foxtail
"ALGEG4",,"Alopecurus geniculatus L. var. geniculatus ",water foxtail
"ALMA8",,"Alopecurus magellanicus Lam.",Alpine Meadow-Foxtail
"ALPR3",,"Alopecurus pratensis L.",meadow foxtail
"ALHI2",,"Althaea hirsuta L.",hairy marshmallow
"ALOF2",,"Althaea officinalis L.",common marshmallow
"ALAL3",,"Alyssum alyssoides (L.) L.",pale madwort
"ALMU",,"Alyssum murale Waldst. & Kit.",yellowtuft
"AMAL",,"Amaranthus albus L.",prostrate pigweed
"AMBL",,"Amaranthus blitoides S. Watson",mat amaranth
"AMBL2",,"Amaranthus blitum L.",purple amaranth
"AMBLE2",,"Amaranthus blitum L. var. emarginatus (Salzm. ex Uline & W.L. Bray) Lambinon",purple amaranth
"AMCR4",,"Amaranthus cruentus L.",red amaranth
"AMHY",,"Amaranthus hybridus L.",slim amaranth
"AMPA",,"Amaranthus palmeri S. Watson",carelessweed
"AMPO2",,"Amaranthus powellii S. Watson",Powell's amaranth
"AMPOP",,"Amaranthus powellii S. Watson ssp. powellii ",Powell's amaranth
"AMRE",,"Amaranthus retroflexus L.",redroot amaranth
"AMSP",,"Amaranthus spinosus L.",spiny amaranth
"AMTU",,"Amaranthus tuberculatus (Moq.) Sauer",roughfruit amaranth
"AMHE3",,"Ambrosia ×helenae Rouleau [artemisiifolia × trifida]",ragweed
"AMAR2",,"Ambrosia artemisiifolia L.",annual ragweed
"AMARA2",,"Ambrosia artemisiifolia L. var. artemisiifolia ",annual ragweed
"AMARE",,"Ambrosia artemisiifolia L. var. elatior (L.) Descourtils",annual ragweed
"AMPS",,"Ambrosia psilostachya DC.",Cuman ragweed
"AMTR",,"Ambrosia trifida L.",great ragweed
"AMTRT2",,"Ambrosia trifida L. var. trifida ",great ragweed
"AMIN4",,"Amelanchier ×intermedia Spach (pro sp.) [arborea × canadensis]",serviceberry
"AMNE",,"Amelanchier ×neglecta Eggl. ex G.N. Jones (pro sp.) [bartramiana × laevis]",serviceberry
"AMQU",,"Amelanchier ×quinti-martii Louis-Marie (pro sp.) [arborea × bartramiana]",serviceberry
"AMAL2",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem.",Saskatoon serviceberry
"AMALA",,"Amelanchier alnifolia (Nutt.) Nutt. ex M. Roem. var. alnifolia ",Saskatoon serviceberry
"AMAR3",,"Amelanchier arborea (Michx. f.) Fernald",common serviceberry
"AMARA4",,"Amelanchier arborea (Michx. f.) Fernald var. arborea ",common serviceberry
"AMBA",,"Amelanchier bartramiana (Tausch) M. Roem.",oblongfruit serviceberry
"AMCA4",,"Amelanchier canadensis (L.) Medik.",Canadian serviceberry
"AMHU2",,"Amelanchier humilis Wiegand",low serviceberry
"AMIN2",,"Amelanchier interior E.L. Nielsen",inland serviceberry
"AMLA",,"Amelanchier laevis Wiegand",Allegheny serviceberry
"AMSA",,"Amelanchier sanguinea (Pursh) DC.",roundleaf serviceberry
"AMSAS",,"Amelanchier sanguinea (Pursh) DC. var. sanguinea ",roundleaf serviceberry
"AMST80",,"Amelanchier stolonifera Wiegand",running serviceberry
"AMRO",,"Amerorchis rotundifolia (Banks ex Pursh) Hultén",roundleaf orchid
"AMRO3",,"Ammannia robusta Heer & Regel",grand redstem
"AMBR",,"Ammophila breviligulata Fernald",American beachgrass
"AMCA6",,"Amorpha canescens Pursh",leadplant
"AMFR",,"Amorpha fruticosa L.",false indigo bush
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"AMBRB",,"Amphicarpaea bracteata (L.) Fernald var. bracteata ",American hogpeanut
"AMBRC",,"Amphicarpaea bracteata (L.) Fernald var. comosa ",American hogpeanut
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARA7",,"Anagallis arvensis L. ssp. arvensis ",scarlet pimpernel
"ANARF",,"Anagallis arvensis L. ssp. foemina (Mill.) Schinz & Thell.",poorman's weatherglass
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANJA4",,"Andromeda ×jamesiana Lepage [glaucophylla × polifolia]",bog rosemary
"ANPO",,"Andromeda polifolia L.",bog rosemary
"ANPOG",,"Andromeda polifolia L. var. glaucophylla (Link) DC.",bog rosemary
"ANPOP",,"Andromeda polifolia L. var. polifolia ",bog rosemary
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANVI2",,"Andropogon virginicus L.",broomsedge bluestem
"ANVIV",,"Andropogon virginicus L. var. virginicus ",broomsedge bluestem
"ANOC2",,"Androsace occidentalis Pursh",western rockjasmine
"ANSE4",,"Androsace septentrionalis L.",pygmyflower rockjasmine
"ANSES3",,"Androsace septentrionalis L. ssp. septentrionalis ",pygmyflower rockjasmine
"ANBL2",,"Anemone blanda Schott & Kotschy",Greek thimbleweed
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANMU",,"Anemone multifida Poir.",Pacific anemone
"ANMUM3",,"Anemone multifida Poir. var. multifida ",Pacific anemone
"ANPA",,"Anemone parviflora Michx.",smallflowered anemone
"ANPAP2",,"Anemone parviflora Michx. var. parviflora ",smallflowered anemone
"ANQU",,"Anemone quinquefolia L.",wood anemone
"ANQUQ",,"Anemone quinquefolia L. var. quinquefolia ",nightcaps
"ANRI",,"Anemone richardsonii Hook.",yellow thimbleweed
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIA2",,"Anemone virginiana L. var. alba (Oakes) Alph. Wood",tall thimbleweed
"ANVIC",,"Anemone virginiana L. var. cylindroidea B. Boivin",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANGR2",,"Anethum graveolens L.",dill
"ANAT",,"Angelica atropurpurea L.",purplestem angelica
"ANLU",,"Angelica lucida L.",seacoast angelica
"ANSY2",,"Angelica sylvestris L.",woodland angelica
"ANVE",,"Angelica venenosa (Greenway) Fernald",hairy angelica
"ANAL4",,"Antennaria alpina (L.) Gaertn.",alpine pussytoes
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHOC",,"Antennaria howellii Greene ssp. canadensis (Greene) Bayer",Canadian pussytoes
"ANHOH",,"Antennaria howellii Greene ssp. howellii ",Howell's pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANHOP",,"Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer",small pussytoes
"ANMI3",,"Antennaria microphylla Rydb.",littleleaf pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA9",,"Antennaria parlinii Fernald",Parlin's pussytoes
"ANPAF",,"Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins",Parlin's pussytoes
"ANPAP",,"Antennaria parlinii Fernald ssp. parlinii ",Parlin's pussytoes
"ANPA4",,"Antennaria parvifolia Nutt.",small-leaf pussytoes
"ANPU",,"Antennaria pulcherrima (Hook.) Greene",showy pussytoes
"ANPUP",,"Antennaria pulcherrima (Hook.) Greene ssp. pulcherrima ",handsome pussy-toes
"ANRO2",,"Antennaria rosea Greene",rosy pussytoes
"ANROC",,"Antennaria rosea Greene ssp. confinis (Greene) Bayer",rosy pussytoes
"ANROR",,"Antennaria rosea Greene ssp. rosea ",rosy pussytoes
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
"ANMO7",,"Anthoxanthum monticola (Bigelow) Veldkamp",alpine sweetgrass
"ANMOM2",,"Anthoxanthum monticola (Bigelow) Veldkamp ssp. monticola ",alpine sweetgrass
"ANOD",,"Anthoxanthum odoratum L.",sweet vernalgrass
"ANODO2",,"Anthoxanthum odoratum L. ssp. odoratum ",sweet vernalgrass
"ANCA14",,"Anthriscus caucalis M. Bieb.",bur chervil
"ANCE",,"Anthriscus cerefolium (L.) Hoffm.",garden chervil
"ANSY",,"Anthriscus sylvestris (L.) Hoffm.",wild chervil
"ANVU",,"Anthyllis vulneraria L.",common kidneyvetch
"ANMA3",,"Antirrhinum majus L.",garden snapdragon
"APIN",,"Apera interrupta (L.) P. Beauv.",dense silkybent
"APSP",,"Apera spica-venti (L.) P. Beauv.",loose silkybent
"APAM",,"Apios americana Medik.",groundnut
"APHY",,"Aplectrum hyemale (Muhl. ex Willd.) Torr.",Adam and Eve
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQBR",,"Aquilegia brevistyla Hook.",smallflower columbine
"AQCA",,"Aquilegia canadensis L.",red columbine
"AQVU",,"Aquilegia vulgaris L.",European columbine
"ARAR32",,"Arabidopsis arenicola (Richardson ex Hook.) Reidar Elvin et al.",rockcress
"ARTH",,"Arabidopsis thaliana (L.) Heynh.",mouseear cress
"ARDI2",,"Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii]",spreadingpod rockcress
"ARAL8",,"Arabis alpina L.",alpine rockcress
"ARCA",,"Arabis canadensis L.",sicklepod
"ARDR",,"Arabis drummondii A. Gray",Drummond's rockcress
"ARGL",,"Arabis glabra (L.) Bernh.",tower rockcress
"ARHI",,"Arabis hirsuta (L.) Scop.",hairy rockcress
"ARHIP",,"Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins",creamflower rockcress
"ARHO2",,"Arabis holboellii Hornem.",Holboell's rockcress
"ARHOC",,"Arabis holboellii Hornem. var. collinsii (Fernald) Rollins",Collins' rockcress
"ARHOR",,"Arabis holboellii Hornem. var. retrofracta (Graham) Rydb.",second rockcress
"ARKA6",,"Arabis kamchatica (Fisch. ex DC.) Ledeb.",Kamchatka rockcress
"ARLA",,"Arabis laevigata (Muhl. ex Willd.) Poir.",smooth rockcress
"ARLAL",,"Arabis laevigata (Muhl. ex Willd.) Poir. var. laevigata ",smooth rockcress
"ARLY2",,"Arabis lyrata L.",lyrate rockcress
"ARSH2",,"Arabis shortii (Fernald) Gleason",Short's rockcress
"AREL8",,"Aralia elata (Miq.) Seem.",Japanese angelica tree
"ARHI2",,"Aralia hispida Vent.",bristly sarsaparilla
"ARNU2",,"Aralia nudicaulis L.",wild sarsaparilla
"ARRA",,"Aralia racemosa L.",American spikenard
"ARRAR",,"Aralia racemosa L. ssp. racemosa ",American spikenard
"ARAM",,"Arceuthobium americanum Nutt. ex Engelm.",American dwarf mistletoe
"ARPU3",,"Arceuthobium pusillum Peck",eastern dwarf mistletoe
"ARLA2",,"Arctagrostis latifolia (R. Br.) Griseb.",wideleaf polargrass
"ARLAL6",,"Arctagrostis latifolia (R. Br.) Griseb. ssp. latifolia ",wideleaf polargrass
"ARNO2",,"Arctium ×nothum (Ruhmer) J. Weiss [Arctium lappa × A. minus]",burrdock
"ARLA3",,"Arctium lappa L.",greater burdock
"ARMI2",,"Arctium minus Bernh.",lesser burdock
"ARTO",,"Arctium tomentosum Mill.",woolly burdock
"ARFU2",,"Arctophila fulva (Trin.) Rupr. ex Andersson",pendantgrass
"ARAL2",,"Arctostaphylos alpina (L.) Spreng.",alpine bearberry
"ARALA7",,"Arctostaphylos alpina (L.) Spreng. var. alpina ",alpine bearberry
"ARRU",,"Arctostaphylos rubra (Rehder & Wilson) Fernald",red fruit bearberry
"ARUV",,"Arctostaphylos uva-ursi (L.) Spreng.",kinnikinnick
"ARHU4",,"Arenaria humifusa Wahlenb.",low sandwort
"ARSE2",,"Arenaria serpyllifolia L.",thymeleaf sandwort
"ARBU",,"Arethusa bulbosa L.",dragon's mouth
"ARME4",,"Argemone mexicana L.",Mexican pricklypoppy
"ARAN7",,"Argentina anserina (L.) Rydb.",silverweed cinquefoil
"AREG",,"Argentina egedii (Wormsk.) Rydb.",Pacific silverweed
"AREGE",,"Argentina egedii (Wormsk.) Rydb. ssp. egedii ",Pacific silverweed
"AREGG",,"Argentina egedii (Wormsk.) Rydb. ssp. groenlandica (Tratt.) Á. Löve",Pacific silverweed
"ARDR3",,"Arisaema dracontium (L.) Schott",green dragon
"ARTR",,"Arisaema triphyllum (L.) Schott",Jack in the pulpit
"ARTRP",,"Arisaema triphyllum (L.) Schott ssp. pusillum (Peck) Huttleston",Jack in the pulpit
"ARTRT3",,"Arisaema triphyllum (L.) Schott ssp. triphyllum ",Jack in the pulpit
"ARBA2",,"Aristida basiramea Engelm. ex Vasey",forked threeawn
"ARDI4",,"Aristida dichotoma Michx.",churchmouse threeawn
"ARDID",,"Aristida dichotoma Michx. var. dichotoma ",churchmouse threeawn
"ARLO16",,"Aristida longespica Poir.",slimspike threeawn
"ARLOG6",,"Aristida longespica Poir. var. geniculata (Raf.) Fernald",slimspike threeawn
"ARLOL3",,"Aristida longespica Poir. var. longespica ",slimspike threeawn
"AROL",,"Aristida oligantha Michx.",prairie threeawn
"ARPU8",,"Aristida purpurascens Poir.",arrowfeather threeawn
"ARPUP4",,"Aristida purpurascens Poir. var. purpurascens ",arrowfeather threeawn
"ARCL",,"Aristolochia clematitis L.",birthwort
"ARMA7",,"Aristolochia macrophylla Lam.",pipevine
"ARMA6",,"Armeria maritima (Mill.) Willd.",thrift seapink
"ARMAS",,"Armeria maritima (Mill.) Willd. ssp. sibirica (Turcz. ex Boiss.) Nyman",Siberian sea thrift
"ARRU4",,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",horseradish
"ARAN5",,"Arnica angustifolia Vahl",narrowleaf arnica
"ARANA",,"Arnica angustifolia Vahl ssp. angustifolia ",narrowleaf arnica
"ARCH3",,"Arnica chamissonis Less.",Chamisso arnica
"ARCHF",,"Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire",Chamisso arnica
"ARCHA2",,"Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire var. andina (Nutt.) Ediger & T.M. Barkley",Chamisso arnica
"ARCO9",,"Arnica cordifolia Hook.",heartleaf arnica
"ARLO5",,"Arnica lonchophylla Greene",longleaf arnica
"ARLOL",,"Arnica lonchophylla Greene ssp. lonchophylla ",longleaf arnica
"ARPL4",,"Arnoglossum plantagineum Raf.",groovestem Indian plantain
"ARPR2",,"Aronia ×prunifolia (Marshall) Rehder, (pro sp.) [arbutifolia × melanocarpa]",purple chokeberry
"ARAR7",,"Aronia arbutifolia (L.) Pers.",red chokeberry
"ARME6",,"Aronia melanocarpa (Michx.) Elliott",black chokeberry
"AREL3",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl",tall oatgrass
"ARELE",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl var. elatius ",tall oatgrass
"ARAB2",,"Artemisia abrotanum L.",southernwood
"ARAB3",,"Artemisia absinthium L.",absinthium
"ARAN3",,"Artemisia annua L.",sweet sagewort
"ARBI2",,"Artemisia biennis Willd.",biennial wormwood
"ARBIB",,"Artemisia biennis Willd. var. biennis ",biennial wormwood
"ARCA12",,"Artemisia campestris L.",field sagewort
"ARCAB2",,"Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem.",field sagewort
"ARCAC",,"Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.",field sagewort
"ARDR4",,"Artemisia dracunculus L.",tarragon
"ARFR4",,"Artemisia frigida Willd.",prairie sagewort
"ARLU",,"Artemisia ludoviciana Nutt.",white sagebrush
"ARLUL2",,"Artemisia ludoviciana Nutt. ssp. ludoviciana ",white sagebrush
"ARPO4",,"Artemisia pontica L.",Roman wormwood
"ARST6",,"Artemisia stelleriana Besser",oldwoman
"ARTI",,"Artemisia tilesii Ledeb.",Tilesius' wormwood
"ARTIE",,"Artemisia tilesii Ledeb. ssp. elatior (Torr. & A. Gray) Hultén",Tilesius' wormwood
"ARVU",,"Artemisia vulgaris L.",common wormwood
"ARDI8",,"Aruncus dioicus (Walter) Fernald",bride's feathers
"ARDID2",,"Aruncus dioicus (Walter) Fernald var. dioicus ",bride's feathers
"ASCA",,"Asarum canadense L.",Canadian wildginger
"ASEX",,"Asclepias exaltata L.",poke milkweed
"ASHI",,"Asclepias hirtella (Pennell) Woodson",green milkweed
"ASIN",,"Asclepias incarnata L.",swamp milkweed
"ASINI",,"Asclepias incarnata L. ssp. incarnata ",swamp milkweed
"ASOV",,"Asclepias ovalifolia Decne.",oval-leaf milkweed
"ASPU2",,"Asclepias purpurascens L.",purple milkweed
"ASQU",,"Asclepias quadrifolia Jacq.",fourleaf milkweed
"ASSU3",,"Asclepias sullivantii Engelm. ex A. Gray",prairie milkweed
"ASSY",,"Asclepias syriaca L.",common milkweed
"ASTU",,"Asclepias tuberosa L.",butterfly milkweed
"ASTUI",,"Asclepias tuberosa L. ssp. interior Woodson",butterfly milkweed
"ASVA",,"Asclepias variegata L.",redring milkweed
"ASVE",,"Asclepias verticillata L.",whorled milkweed
"ASVI",,"Asclepias viridiflora Raf.",green comet milkweed
"ASTR",,"Asimina triloba (L.) Dunal",pawpaw
"ASOF",,"Asparagus officinalis L.",garden asparagus
"ASPR",,"Asperugo procumbens L.",German-madwort
"ASAR2",,"Asperula arvensis L.",blue woodruff
"ASPL",,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",ebony spleenwort
"ASPLP",,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb. var. platyneuron ",ebony spleenwort
"ASRH2",,"Asplenium rhizophyllum L.",walking fern
"ASRU2",,"Asplenium ruta-muraria L.",wallrue
"ASRUC",,"Asplenium ruta-muraria L. var. cryptolepis (Fernald) Wherry",wallrue
"ASSC11",,"Asplenium scolopendrium L.",Hart's tonguefern
"ASSCA",,"Asplenium scolopendrium L. var. americanum (Fernald) Kartesz & Gandhi",Hart's tonguefern
"ASTR2",,"Asplenium trichomanes L.",maidenhair spleenwort
"ASTRQ",,"Asplenium trichomanes L. ssp. quadrivalens D.E. Mey.",maidenhair spleenwort
"ASTRT",,"Asplenium trichomanes L. ssp. trichomanes ",maidenhair spleenwort
"ASTR10",,"Asplenium trichomanes-ramosum L.",brightgreen spleenwort
"ASAL3",,"Aster alpinus L.",alpine aster
"ASALV",,"Aster alpinus L. var. vierhapperi (Onno) Cronquist",Vierhapper's aster
"ASAG2",,"Astragalus agrestis Douglas ex G. Don",purple milkvetch
"ASAL7",,"Astragalus alpinus L.",alpine milkvetch
"ASALA4",,"Astragalus alpinus L. var. alpinus ",alpine milkvetch
"ASAM3",,"Astragalus americanus (Hook.) M.E. Jones",American milkvetch
"ASAU4",,"Astragalus australis (L.) Lam.",Indian milkvetch
"ASCA11",,"Astragalus canadensis L.",Canadian milkvetch
"ASCAC6",,"Astragalus canadensis L. var. canadensis ",Canadian milkvetch
"ASCI4",,"Astragalus cicer L.",chickpea milkvetch
"ASEU2",,"Astragalus eucosmus B.L. Rob.",elegant milkvetch
"ASGL4",,"Astragalus glycyphyllos L.",licorice milkvetch
