# Title: December 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-093,Marion County,Alabama,46.2,3.2,101,43
AL-095,Marshall County,Alabama,45.1,2.4,89,42.7
AL-097,Mobile County,Alabama,54.1,2.3,92,51.8
AL-099,Monroe County,Alabama,51.2,1.7,86,49.5
AL-101,Montgomery County,Alabama,49.8,1.8,84,48
AL-103,Morgan County,Alabama,45.1,2.7,91,42.4
AL-105,Perry County,Alabama,48.4,1.6,84,46.8
AL-107,Pickens County,Alabama,47.8,2.2,88,45.6
AL-109,Pike County,Alabama,49.6,0.9,79,48.7
AL-111,Randolph County,Alabama,46.5,3.1,96,43.4
AL-113,Russell County,Alabama,49.6,1.7,87,47.9
AL-115,St. Clair County,Alabama,46.3,2.4,89,43.9
AL-117,Shelby County,Alabama,47.3,2.3,88,45
AL-119,Sumter County,Alabama,48.9,1.7,86,47.2
AL-121,Talladega County,Alabama,47.1,2.3,88,44.8
AL-123,Tallapoosa County,Alabama,47.8,2.4,92,45.4
AL-125,Tuscaloosa County,Alabama,47.5,1.8,86,45.7
AL-127,Walker County,Alabama,46,1.9,85,44.1
AL-129,Washington County,Alabama,51.7,1.9,91,49.8
AL-131,Wilcox County,Alabama,50.3,1.7,84,48.6
AL-133,Winston County,Alabama,45.4,2.7,96,42.7
AZ-001,Apache County,Arizona,35.6,4.7,120,30.9
AZ-003,Cochise County,Arizona,49.7,5.7,130,44
AZ-005,Coconino County,Arizona,39.6,6.7,129,32.9
AZ-007,Gila County,Arizona,49.2,7.5,130,41.7
AZ-009,Graham County,Arizona,50,6.8,130,43.2
AZ-011,Greenlee County,Arizona,45.5,6.5,130,39
AZ-012,La Paz County,Arizona,57.5,5.9,129,51.6
AZ-013,Maricopa County,Arizona,58.1,6.5,130,51.6
AZ-015,Mohave County,Arizona,50.3,7.1,130,43.2
AZ-017,Navajo County,Arizona,37.8,6.4,128,31.4
AZ-019,Pima County,Arizona,56.6,6.3,130,50.3
AZ-021,Pinal County,Arizona,56.6,6.3,130,50.3
AZ-023,Santa Cruz County,Arizona,51.3,6.1,130,45.2
AZ-025,Yavapai County,Arizona,48.2,6.4,129,41.8
AZ-027,Yuma County,Arizona,58.4,5.3,128,53.1
AR-001,Arkansas County,Arkansas,48.2,4.8,116,43.4
AR-003,Ashley County,Arkansas,50.3,4.8,118,45.5
AR-005,Baxter County,Arkansas,42.3,4.9,113,37.4
AR-007,Benton County,Arkansas,43.7,5.9,123,37.8
AR-009,Boone County,Arkansas,42,4.7,114,37.3
AR-011,Bradley County,Arkansas,50.3,5.7,122,44.6
AR-013,Calhoun County,Arkansas,49.8,5.2,121,44.6
AR-015,Carroll County,Arkansas,42.6,5.1,119,37.5
AR-017,Chicot County,Arkansas,50,4.3,113,45.7
AR-019,Clark County,Arkansas,47.7,4.2,117,43.5
AR-021,Clay County,Arkansas,43.7,5.2,116,38.5
AR-023,Cleburne County,Arkansas,43.9,4.1,111,39.8
AR-025,Cleveland County,Arkansas,48.8,4.8,117,44
AR-027,Columbia County,Arkansas,50.3,4.7,119,45.6
AR-029,Conway County,Arkansas,45.1,4.3,115,40.8
AR-031,Craighead County,Arkansas,44.9,5.2,116,39.7
AR-033,Crawford County,Arkansas,44.9,5.1,120,39.8
AR-035,Crittenden County,Arkansas,46.6,4.5,113,42.1
AR-037,Cross County,Arkansas,46.1,4.6,114,41.5
AR-039,Dallas County,Arkansas,48,4.1,115,43.9
AR-041,Desha County,Arkansas,49,4.7,115,44.3
AR-043,Drew County,Arkansas,49.8,5.1,119,44.7
AR-045,Faulkner County,Arkansas,44.8,3.4,106,41.4
AR-047,Franklin County,Arkansas,44.9,5.2,122,39.7
AR-049,Fulton County,Arkansas,42.2,5.6,118,36.6
AR-051,Garland County,Arkansas,47.1,5,120,42.1
AR-053,Grant County,Arkansas,47.5,4,115,43.5
AR-055,Greene County,Arkansas,44.2,5.2,116,39
AR-057,Hempstead County,Arkansas,49.4,5.1,121,44.3
AR-059,Hot Spring County,Arkansas,47.4,4.2,117,43.2
AR-061,Howard County,Arkansas,47.8,4.9,120,42.9
AR-063,Independence County,Arkansas,43.9,4.7,113,39.2
AR-065,Izard County,Arkansas,42.8,5,115,37.8
AR-067,Jackson County,Arkansas,44.6,4.6,115,40
AR-069,Jefferson County,Arkansas,47.8,4.3,116,43.5
AR-071,Johnson County,Arkansas,44.3,5.1,122,39.2
AR-073,Lafayette County,Arkansas,51,5.4,121,45.6
AR-075,Lawrence County,Arkansas,43.8,5,116,38.8
AR-077,Lee County,Arkansas,47.3,4.6,115,42.7
AR-079,Lincoln County,Arkansas,49.1,5.1,120,44
AR-081,Little River County,Arkansas,50.2,5.8,125,44.4
AR-083,Logan County,Arkansas,45.9,5.2,122,40.7
AR-085,Lonoke County,Arkansas,46.3,3.7,110,42.6
AR-087,Madison County,Arkansas,42.8,5.3,119,37.5
AR-089,Marion County,Arkansas,42,4.6,113,37.4
AR-091,Miller County,Arkansas,51.6,5.9,124,45.7
AR-093,Mississippi County,Arkansas,45.1,4.5,112,40.6
AR-095,Monroe County,Arkansas,47.5,4.8,115,42.7
AR-097,Montgomery County,Arkansas,46.8,5.3,123,41.5
AR-099,Nevada County,Arkansas,49.1,4.7,119,44.4
AR-101,Newton County,Arkansas,41.8,4.4,115,37.4
AR-103,Ouachita County,Arkansas,49.2,4.3,118,44.9
AR-105,Perry County,Arkansas,46.2,4.6,119,41.6
AR-107,Phillips County,Arkansas,48.1,4.9,116,43.2
AR-109,Pike County,Arkansas,47.6,5,122,42.7
AR-111,Poinsett County,Arkansas,45.4,4.9,115,40.5
AR-113,Polk County,Arkansas,46,5.2,123,40.8
AR-115,Pope County,Arkansas,44.3,4.6,119,39.7
AR-117,Prairie County,Arkansas,47,4.4,115,42.6
AR-119,Pulaski County,Arkansas,46.3,3.8,109,42.5
AR-121,Randolph County,Arkansas,43.2,5.3,117,37.9
AR-123,St. Francis County,Arkansas,46.7,4.5,114,42.2
AR-125,Saline County,Arkansas,47,4.5,119,42.5
AR-127,Scott County,Arkansas,45.6,4.9,119,40.7
AR-129,Searcy County,Arkansas,41.6,3.8,109,37.8
AR-131,Sebastian County,Arkansas,46,5.2,121,40.8
AR-133,Sevier County,Arkansas,48.6,5.4,122,43.2
AR-135,Sharp County,Arkansas,42.5,5,114,37.5
AR-137,Stone County,Arkansas,42.9,4.5,113,38.4
AR-139,Union County,Arkansas,50.9,5.4,122,45.5
AR-141,Van Buren County,Arkansas,42.9,3.8,110,39.1
AR-143,Washington County,Arkansas,43.8,5.6,122,38.2
AR-145,White County,Arkansas,45.2,4,110,41.2
AR-147,Woodruff County,Arkansas,46.1,4.6,115,41.5
AR-149,Yell County,Arkansas,46.4,5.2,123,41.2
CA-001,Alameda County,California,51.8,4.7,128,47.1
CA-003,Alpine County,California,37.1,6.1,126,31
CA-005,Amador County,California,48.4,4.5,125,43.9
CA-007,Butte County,California,48.6,4.5,127,44.1
CA-009,Calaveras County,California,48.5,4.6,125,44
CA-011,Colusa County,California,50.2,5.1,127,45.1
CA-013,Contra Costa County,California,51.3,4.5,127,46.8
CA-015,Del Norte County,California,43.6,3.5,124,40.1
CA-017,El Dorado County,California,45.3,4.7,126,40.6
CA-019,Fresno County,California,45.8,5.8,130,40
CA-021,Glenn County,California,48.9,4.8,127,44.1
CA-023,Humboldt County,California,46,3.7,123,42.3
CA-025,Imperial County,California,60.2,5.7,129,54.5
CA-027,Inyo County,California,48.2,6.7,130,41.5
CA-029,Kern County,California,50.5,5.7,130,44.8
CA-031,Kings County,California,50.8,5.1,127,45.7
CA-033,Lake County,California,48,4.6,127,43.4
CA-035,Lassen County,California,35.3,4.9,123,30.4
CA-037,Los Angeles County,California,54,5.2,127,48.8
CA-039,Madera County,California,46.7,6,129,40.7
CA-041,Marin County,California,52.5,4.5,127,48
CA-043,Mariposa County,California,46.4,5.5,128,40.9
CA-045,Mendocino County,California,48.5,4.3,128,44.2
CA-047,Merced County,California,51.1,5.5,128,45.6
CA-049,Modoc County,California,36.4,6.3,125,30.1
CA-051,Mono County,California,35.2,6.2,128,29
CA-053,Monterey County,California,52.9,5.3,130,47.6
CA-055,Napa County,California,50,4.2,127,45.8
CA-057,Nevada County,California,42.7,3.9,119,38.8
CA-059,Orange County,California,58.8,3.7,122,55.1
CA-061,Placer County,California,44.3,4.4,125,39.9
CA-063,Plumas County,California,36.4,3.7,121,32.7
CA-065,Riverside County,California,57.5,6.2,130,51.3
CA-067,Sacramento County,California,51,4.5,127,46.5
CA-069,San Benito County,California,51.4,5.7,130,45.7
CA-071,San Bernardino County,California,53.6,6.5,130,47.1
CA-073,San Diego County,California,56.5,5.8,129,50.7
CA-075,San Francisco County,California,53.2,4,126,49.2
CA-077,San Joaquin County,California,51.4,5.4,128,46
CA-079,San Luis Obispo County,California,52.8,5.3,128,47.5
CA-081,San Mateo County,California,53.7,5,129,48.7
CA-083,Santa Barbara County,California,54,5.4,128,48.6
CA-085,Santa Clara County,California,51.8,5.5,130,46.3
CA-087,Santa Cruz County,California,53.6,5.3,129,48.3
CA-089,Shasta County,California,43.2,3.6,122,39.6
CA-091,Sierra County,California,37.8,4.7,124,33.1
CA-093,Siskiyou County,California,37.7,3.9,123,33.8
CA-095,Solano County,California,50.7,4.2,126,46.5
CA-097,Sonoma County,California,51.2,4.3,127,46.9
CA-099,Stanislaus County,California,50.7,5.2,128,45.5
CA-101,Sutter County,California,51.1,4.8,127,46.3
CA-103,Tehama County,California,47.1,3.9,123,43.2
CA-105,Trinity County,California,41.3,3.7,122,37.6
CA-107,Tulare County,California,44.6,5.9,129,38.7
CA-109,Tuolumne County,California,42,5,126,37
CA-111,Ventura County,California,51.7,4.7,127,47
CA-113,Yolo County,California,50.4,4.2,127,46.2
CA-115,Yuba County,California,49.7,4.3,125,45.4
CO-001,Adams County,Colorado,37.1,9,129,28.1
CO-003,Alamosa County,Colorado,27.8,7.4,124,20.4
CO-005,Arapahoe County,Colorado,36.9,8.4,129,28.5
CO-007,Archuleta County,Colorado,29.9,5.8,122,24.1
CO-009,Baca County,Colorado,39.6,7.1,128,32.5
CO-011,Bent County,Colorado,38.2,7.5,126,30.7
CO-013,Boulder County,Colorado,33.4,6.6,127,26.8
CO-014,Broomfield County,Colorado,39.4,8.4,128,31
CO-015,Chaffee County,Colorado,24.8,4.7,120,20.1
CO-017,Cheyenne County,Colorado,37.3,8.3,127,29
CO-019,Clear Creek County,Colorado,26.5,6.1,126,20.4
CO-021,Conejos County,Colorado,27.1,7,124,20.1
CO-023,Costilla County,Colorado,28.2,5.7,118,22.5
CO-025,Crowley County,Colorado,36.8,7.3,127,29.5
CO-027,Custer County,Colorado,29.9,5.9,122,24
CO-029,Delta County,Colorado,30.5,5.8,120,24.7
CO-031,Denver County,Colorado,39.2,8.6,128,30.6
CO-033,Dolores County,Colorado,30.4,6,125,24.4
CO-035,Douglas County,Colorado,36.2,6.9,127,29.3
CO-037,Eagle County,Colorado,24.6,4.9,117,19.7
CO-039,Elbert County,Colorado,35.1,7.4,128,27.7
CO-041,El Paso County,Colorado,35.8,6.5,126,29.3
CO-043,Fremont County,Colorado,32.2,4.4,117,27.8
CO-045,Garfield County,Colorado,29,6.1,123,22.9
CO-047,Gilpin County,Colorado,29.2,6.5,127,22.7
CO-049,Grand County,Colorado,22.7,4.8,119,17.9
CO-051,Gunnison County,Colorado,19.1,0.9,76,18.2
CO-053,Hinsdale County,Colorado,23.4,5.4,118,18
CO-055,Huerfano County,Colorado,35.7,6.8,126,28.9
CO-057,Jackson County,Colorado,23.2,5.6,123,17.6
CO-059,Jefferson County,Colorado,36,6.9,127,29.1
CO-061,Kiowa County,Colorado,37.5,7.9,127,29.6
CO-063,Kit Carson County,Colorado,37.8,8.9,130,28.9
CO-065,Lake County,Colorado,21.7,4.7,121,17
CO-067,La Plata County,Colorado,31.5,5.8,124,25.7
CO-069,Larimer County,Colorado,31.3,7.3,128,24
CO-071,Las Animas County,Colorado,38,6.1,126,31.9
CO-073,Lincoln County,Colorado,36.2,7.7,129,28.5
CO-075,Logan County,Colorado,36.8,9.2,130,27.6
CO-077,Mesa County,Colorado,31.5,6.5,125,25
CO-079,Mineral County,Colorado,23.6,5.6,118,18
CO-081,Moffat County,Colorado,28.5,7,119,21.5
CO-083,Montezuma County,Colorado,33.4,5.5,122,27.9
CO-085,Montrose County,Colorado,31.6,6,124,25.6
CO-087,Morgan County,Colorado,36.4,10.3,130,26.1
CO-089,Otero County,Colorado,38.3,7,126,31.3
CO-091,Ouray County,Colorado,27.3,5.3,121,22
CO-093,Park County,Colorado,24.1,3.1,113,21
CO-095,Phillips County,Colorado,37,9.9,130,27.1
CO-097,Pitkin County,Colorado,23.2,3.8,115,19.4
CO-099,Prowers County,Colorado,38.7,7.8,128,30.9
CO-101,Pueblo County,Colorado,38.9,6.8,127,32.1
CO-103,Rio Blanco County,Colorado,30.2,7.5,125,22.7
CO-105,Rio Grande County,Colorado,26.3,7.4,123,18.9
CO-107,Routt County,Colorado,24.5,5.1,117,19.4
CO-109,Saguache County,Colorado,24.8,5.6,117,19.2
CO-111,San Juan County,Colorado,24.5,5.5,125,19
CO-113,San Miguel County,Colorado,30.5,5.6,124,24.9
CO-115,Sedgwick County,Colorado,36.6,9.4,130,27.2
CO-117,Summit County,Colorado,21.9,4.5,118,17.4
CO-119,Teller County,Colorado,27.8,4.1,114,23.7
CO-121,Washington County,Colorado,36.9,9.4,130,27.5
CO-123,Weld County,Colorado,36.3,9.2,129,27.1
CO-125,Yuma County,Colorado,38.1,9.9,130,28.2
CT-001,Fairfield County,Connecticut,33.3,2.6,90,30.7
CT-003,Hartford County,Connecticut,31.5,2.5,85,29
CT-005,Litchfield County,Connecticut,28.5,1.9,76,26.6
CT-007,Middlesex County,Connecticut,33,2.4,84,30.6
CT-009,New Haven County,Connecticut,32.6,2.2,80,30.4
CT-011,New London County,Connecticut,33.6,2.8,87,30.8
CT-013,Tolland County,Connecticut,30.9,2.5,87,28.4
CT-015,Windham County,Connecticut,31.4,2.6,85,28.8
DE-001,Kent County,Delaware,37.8,2,77,35.8
DE-003,New Castle County,Delaware,36.7,2.2,79,34.5
DE-005,Sussex County,Delaware,39.2,1.9,78,37.3
FL-001,Alachua County,Florida,57.8,1.7,80,56.1
FL-003,Baker County,Florida,55.6,1.8,83,53.8
FL-005,Bay County,Florida,55.1,1.8,85,53.3
FL-007,Bradford County,Florida,57.2,1.8,83,55.4
FL-009,Brevard County,Florida,64,1.9,80,62.1
FL-011,Broward County,Florida,69.4,2.8,100,66.6
FL-013,Calhoun County,Florida,54,1.7,85,52.3
FL-015,Charlotte County,Florida,64.2,0.7,71,63.5
FL-017,Citrus County,Florida,60.9,2.8,91,58.1
FL-019,Clay County,Florida,58.4,2.7,87,55.7
FL-021,Collier County,Florida,67.6,1.8,84,65.8
FL-023,Columbia County,Florida,55.2,1.2,77,54
FL-027,DeSoto County,Florida,63.2,0.7,72,62.5
FL-029,Dixie County,Florida,56.6,1.7,81,54.9
FL-031,Duval County,Florida,58,3.1,92,54.9
FL-033,Escambia County,Florida,54,1.4,81,52.6
FL-035,Flagler County,Florida,60.7,2.8,86,57.9
FL-037,Franklin County,Florida,55.9,1.8,83,54.1
FL-039,Gadsden County,Florida,54.3,2,88,52.3
FL-041,Gilchrist County,Florida,56.5,1.5,78,55
FL-043,Glades County,Florida,64.8,1.3,78,63.5
FL-045,Gulf County,Florida,55.9,2.2,86,53.7
FL-047,Hamilton County,Florida,54.6,1.7,85,52.9
FL-049,Hardee County,Florida,62.9,1.2,74,61.7
FL-051,Hendry County,Florida,66.3,1.7,81,64.6
FL-053,Hernando County,Florida,61.8,2.9,89,58.9
FL-055,Highlands County,Florida,63.6,1.2,76,62.4
FL-057,Hillsborough County,Florida,63.5,2.6,86,60.9
FL-059,Holmes County,Florida,51.4,0.1,70,51.3
FL-061,Indian River County,Florida,65.1,2.4,93,62.7
FL-063,Jackson County,Florida,52.6,0.7,73,51.9
FL-065,Jefferson County,Florida,54.7,2,84,52.7
FL-067,Lafayette County,Florida,55.5,1.5,80,54
FL-069,Lake County,Florida,61.8,2.7,89,59.1
FL-071,Lee County,Florida,65.5,0.9,72,64.6
FL-073,Leon County,Florida,55,2.3,87,52.7
FL-075,Levy County,Florida,58.4,2.2,82,56.2
FL-077,Liberty County,Florida,54.8,2,85,52.8
FL-079,Madison County,Florida,54.4,1.7,83,52.7
FL-081,Manatee County,Florida,63.7,1.8,78,61.9
FL-083,Marion County,Florida,60.3,2.9,89,57.4
FL-085,Martin County,Florida,67.3,2.6,94,64.7
FL-086,Miami-Dade County,Florida,69.8,2.7,98,67.1
FL-087,Monroe County,Florida,69.9,2.3,94,67.6
FL-089,Nassau County,Florida,56.5,2.9,91,53.6
FL-091,Okaloosa County,Florida,53.6,1.7,84,51.9
FL-093,Okeechobee County,Florida,64.8,1.9,84,62.9
FL-095,Orange County,Florida,63.1,2.4,87,60.7
FL-097,Osceola County,Florida,63.9,2.2,81,61.7
FL-099,Palm Beach County,Florida,68.1,2.5,95,65.6
FL-101,Pasco County,Florida,62.5,2.9,86,59.6
FL-103,Pinellas County,Florida,64.5,3,96,61.5
FL-105,Polk County,Florida,63.3,2.1,83,61.2
FL-107,Putnam County,Florida,59.9,2.9,89,57
FL-109,St. Johns County,Florida,59.8,3,89,56.8
FL-111,St. Lucie County,Florida,66.3,2.5,94,63.8
FL-113,Santa Rosa County,Florida,53.3,0.9,77,52.4
FL-115,Sarasota County,Florida,64,1.2,77,62.8
FL-117,Seminole County,Florida,62.6,2.2,84,60.4
FL-119,Sumter County,Florida,61.5,2.8,90,58.7
FL-121,Suwannee County,Florida,55.2,1.4,81,53.8
FL-123,Taylor County,Florida,55.5,1.8,82,53.7
FL-125,Union County,Florida,56,1.2,73,54.8
FL-127,Volusia County,Florida,61.6,2.4,84,59.2
FL-129,Wakulla County,Florida,55.4,2,87,53.4
FL-131,Walton County,Florida,53.3,1.6,83,51.7
FL-133,Washington County,Florida,52.8,0.7,74,52.1
GA-001,Appling County,Georgia,51.6,1,79,50.6
GA-003,Atkinson County,Georgia,52.2,1.4,80,50.8
GA-005,Bacon County,Georgia,51.7,0.9,75,50.8
GA-007,Baker County,Georgia,52.5,2,88,50.5
GA-009,Baldwin County,Georgia,47.9,1.5,84,46.4
GA-011,Banks County,Georgia,45,2.1,89,42.9
GA-013,Barrow County,Georgia,45.7,2.6,96,43.1
GA-015,Bartow County,Georgia,43.7,1.5,82,42.2
GA-017,Ben Hill County,Georgia,51.4,2,86,49.4
GA-019,Berrien County,Georgia,52,1.4,80,50.6
GA-021,Bibb County,Georgia,47.5,0.9,75,46.6
GA-023,Bleckley County,Georgia,49.5,1.5,82,48
GA-025,Brantley County,Georgia,53.5,2,84,51.5
GA-027,Brooks County,Georgia,52.7,1.1,78,51.6
GA-029,Bryan County,Georgia,52.4,1.6,81,50.8
GA-031,Bulloch County,Georgia,50.8,1.5,80,49.3
GA-033,Burke County,Georgia,49.3,2.2,88,47.1
GA-035,Butts County,Georgia,46.8,2.2,87,44.6
GA-037,Calhoun County,Georgia,51.5,1.8,86,49.7
GA-039,Camden County,Georgia,55.8,2.8,91,53
GA-043,Candler County,Georgia,50.7,1.5,82,49.2
GA-045,Carroll County,Georgia,45.6,3,93,42.6
GA-047,Catoosa County,Georgia,44.1,3,97,41.1
GA-049,Charlton County,Georgia,55,2.4,86,52.6
GA-051,Chatham County,Georgia,52.9,1.9,83,51
GA-053,Chattahoochee County,Georgia,49.6,1.9,85,47.7
GA-055,Chattooga County,Georgia,43.4,1.6,81,41.8
GA-057,Cherokee County,Georgia,43.7,1.9,87,41.8
GA-059,Clarke County,Georgia,45.9,2.4,92,43.5
GA-061,Clay County,Georgia,50.4,0.9,77,49.5
GA-063,Clayton County,Georgia,46.7,2.9,95,43.8
GA-065,Clinch County,Georgia,53.6,1.7,82,51.9
GA-067,Cobb County,Georgia,45,2.5,93,42.5
GA-069,Coffee County,Georgia,51.9,1.7,83,50.2
GA-071,Colquitt County,Georgia,51.8,1.1,78,50.7
GA-073,Columbia County,Georgia,47.9,2,87,45.9
GA-075,Cook County,Georgia,51.9,1.1,77,50.8
GA-077,Coweta County,Georgia,46.6,2.9,91,43.8
GA-079,Crawford County,Georgia,47.5,1.1,79,46.4
GA-081,Crisp County,Georgia,50.3,1.9,85,48.4
GA-083,Dade County,Georgia,43.1,2.7,93,40.4
GA-085,Dawson County,Georgia,43.2,2.1,89,41.1
GA-087,Decatur County,Georgia,53.4,1.8,85,51.6
GA-089,DeKalb County,Georgia,46.1,3,96,43.1
GA-091,Dodge County,Georgia,50.3,1.6,83,48.7
GA-093,Dooly County,Georgia,49.6,1.8,82,47.8
GA-095,Dougherty County,Georgia,52.1,2.1,88,50
GA-097,Douglas County,Georgia,45.6,2.9,95,42.7
GA-099,Early County,Georgia,51.6,1.2,80,50.4
GA-101,Echols County,Georgia,54,1.7,84,52.3
GA-103,Effingham County,Georgia,51.2,1.6,81,49.6
GA-105,Elbert County,Georgia,45.7,2.7,94,43
GA-107,Emanuel County,Georgia,50.3,1.9,86,48.4
GA-109,Evans County,Georgia,51.5,1.3,81,50.2
GA-111,Fannin County,Georgia,40.7,1.6,84,39.1
GA-113,Fayette County,Georgia,46.7,2.7,92,44
GA-115,Floyd County,Georgia,43.7,1.4,81,42.3
GA-117,Forsyth County,Georgia,44.3,2.5,91,41.8
GA-119,Franklin County,Georgia,44.9,2,88,42.9
GA-121,Fulton County,Georgia,45.8,3,96,42.8
GA-123,Gilmer County,Georgia,41.5,1.7,86,39.8
GA-125,Glascock County,Georgia,48.2,2,87,46.2
GA-127,Glynn County,Georgia,54.6,1.9,84,52.7
GA-129,Gordon County,Georgia,43.4,1.5,82,41.9
GA-131,Grady County,Georgia,53.5,1.8,86,51.7
GA-133,Greene County,Georgia,46.8,2.3,89,44.5
GA-135,Gwinnett County,Georgia,45.4,2.8,96,42.6
GA-137,Habersham County,Georgia,43.7,2,87,41.7
GA-139,Hall County,Georgia,44.8,2.5,95,42.3
GA-141,Hancock County,Georgia,47.7,1.9,87,45.8
GA-143,Haralson County,Georgia,44.6,2.6,90,42
GA-145,Harris County,Georgia,48.4,2.5,91,45.9
GA-147,Hart County,Georgia,45,2.3,89,42.7
GA-149,Heard County,Georgia,46.7,3.1,94,43.6
GA-151,Henry County,Georgia,46.7,2.4,90,44.3
GA-153,Houston County,Georgia,48.8,1.2,80,47.6
GA-155,Irwin County,Georgia,51.5,1.9,84,49.6
GA-157,Jackson County,Georgia,45.6,2.5,93,43.1
GA-159,Jasper County,Georgia,46.5,2,88,44.5
GA-161,Jeff Davis County,Georgia,51.4,1.6,83,49.8
GA-163,Jefferson County,Georgia,49,2.1,88,46.9
GA-165,Jenkins County,Georgia,50,2.3,87,47.7
GA-167,Johnson County,Georgia,49.8,1.8,86,48
GA-169,Jones County,Georgia,47.2,1.3,82,45.9
GA-171,Lamar County,Georgia,47.1,1.9,86,45.2
GA-173,Lanier County,Georgia,52.6,1.4,79,51.3
GA-175,Laurens County,Georgia,50,1.6,86,48.4
GA-177,Lee County,Georgia,51.2,2.1,86,49.1
GA-179,Liberty County,Georgia,52.7,1.4,81,51.3
GA-181,Lincoln County,Georgia,46.8,2.2,90,44.6
GA-183,Long County,Georgia,52.5,1.2,81,51.3
GA-185,Lowndes County,Georgia,53,1.3,79,51.7
GA-187,Lumpkin County,Georgia,42.7,2.2,90,40.5
GA-189,McDuffie County,Georgia,47.5,2.1,87,45.4
GA-191,McIntosh County,Georgia,53.8,1.6,85,52.2
GA-193,Macon County,Georgia,48.7,1.5,81,47.2
GA-195,Madison County,Georgia,45.4,2.4,90,43
GA-197,Marion County,Georgia,49,1.8,84,47.2
GA-199,Meriwether County,Georgia,47.3,2.5,90,44.8
GA-201,Miller County,Georgia,52.4,1.6,82,50.8
GA-205,Mitchell County,Georgia,52.5,1.7,86,50.8
GA-207,Monroe County,Georgia,46.9,1.5,84,45.4
GA-209,Montgomery County,Georgia,50.8,1.6,84,49.3
GA-211,Morgan County,Georgia,46.5,2.4,89,44.1
GA-213,Murray County,Georgia,43.2,2.2,90,41
GA-215,Muscogee County,Georgia,49.4,2.1,85,47.3
GA-217,Newton County,Georgia,46.4,2.6,93,43.8
GA-219,Oconee County,Georgia,46.2,2.5,93,43.7
GA-221,Oglethorpe County,Georgia,46,2.5,91,43.5
GA-223,Paulding County,Georgia,44.6,2.3,87,42.3
GA-225,Peach County,Georgia,48,1.1,78,46.9
GA-227,Pickens County,Georgia,42.8,1.8,87,41
GA-229,Pierce County,Georgia,52.6,1.3,79,51.3
GA-231,Pike County,Georgia,47.3,2.2,88,45.1
