Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"AMME",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr.",Menzies' fiddleneck
"AMMEI2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. intermedia (Fisch. & C.A. Mey.) Ganders",common fiddleneck
"AMMEM2",,"Amsinckia menziesii (Lehm.) A. Nelson & J.F. Macbr. var. menziesii ",Menzies' fiddleneck
"AMTA2",,"Amsonia tabernaemontana Walter",eastern bluestar
"AMTAT",,"Amsonia tabernaemontana Walter var. tabernaemontana ",eastern bluestar
"ANAR",,"Anagallis arvensis L.",scarlet pimpernel
"ANARA7",,"Anagallis arvensis L. ssp. arvensis ",scarlet pimpernel
"ANMA",,"Anaphalis margaritacea (L.) Benth.",western pearly everlasting
"ANAR16",,"Anchusa arvensis (L.) M. Bieb.",small bugloss
"ANAZ",,"Anchusa azurea Mill.",Italian bugloss
"ANOF",,"Anchusa officinalis L.",common bugloss
"ANPO",,"Andromeda polifolia L.",bog rosemary
"ANPOG",,"Andromeda polifolia L. var. glaucophylla (Link) DC.",bog rosemary
"ANGE",,"Andropogon gerardii Vitman",big bluestem
"ANGL2",,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.",bushy bluestem
"ANGLG2",,"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb. var. glomeratus ",bushy bluestem
"ANVI2",,"Andropogon virginicus L.",broomsedge bluestem
"ANVIV",,"Andropogon virginicus L. var. virginicus ",broomsedge bluestem
"ANOC2",,"Androsace occidentalis Pursh",western rockjasmine
"ANCA8",,"Anemone canadensis L.",Canadian anemone
"ANCY",,"Anemone cylindrica A. Gray",candle anemone
"ANNE4",,"Anemone nemorosa L.",European thimbleweed
"ANQU",,"Anemone quinquefolia L.",wood anemone
"ANQUQ",,"Anemone quinquefolia L. var. quinquefolia ",nightcaps
"ANVI3",,"Anemone virginiana L.",tall thimbleweed
"ANVIA2",,"Anemone virginiana L. var. alba (Oakes) Alph. Wood",tall thimbleweed
"ANVIV2",,"Anemone virginiana L. var. virginiana ",tall thimbleweed
"ANGR2",,"Anethum graveolens L.",dill
"ANAT",,"Angelica atropurpurea L.",purplestem angelica
"ANLU",,"Angelica lucida L.",seacoast angelica
"ANVE",,"Angelica venenosa (Greenway) Fernald",hairy angelica
"ANCR2",,"Anoda cristata (L.) Schltdl.",crested anoda
"ANHO",,"Antennaria howellii Greene",Howell's pussytoes
"ANHOC",,"Antennaria howellii Greene ssp. canadensis (Greene) Bayer",Canadian pussytoes
"ANHON",,"Antennaria howellii Greene ssp. neodioica (Greene) Bayer",Howell's pussytoes
"ANHOP",,"Antennaria howellii Greene ssp. petaloidea (Fernald) Bayer",small pussytoes
"ANNE",,"Antennaria neglecta Greene",field pussytoes
"ANPA9",,"Antennaria parlinii Fernald",Parlin's pussytoes
"ANPAF",,"Antennaria parlinii Fernald ssp. fallax (Greene) Bayer & Stebbins",Parlin's pussytoes
"ANPAP",,"Antennaria parlinii Fernald ssp. parlinii ",Parlin's pussytoes
"ANPL",,"Antennaria plantaginifolia (L.) Richardson",woman's tobacco
"ANAR6",,"Anthemis arvensis L.",corn chamomile
"ANCO2",,"Anthemis cotula L.",stinking chamomile
"ANTI",,"Anthemis tinctoria L.",golden chamomile
"ANAR7",,"Anthoxanthum aristatum Boiss.",annual vernalgrass
"ANOD",,"Anthoxanthum odoratum L.",sweet vernalgrass
"ANODO2",,"Anthoxanthum odoratum L. ssp. odoratum ",sweet vernalgrass
"ANSY",,"Anthriscus sylvestris (L.) Hoffm.",wild chervil
"ANVU",,"Anthyllis vulneraria L.",common kidneyvetch
"ANMA3",,"Antirrhinum majus L.",garden snapdragon
"APIN",,"Apera interrupta (L.) P. Beauv.",dense silkybent
"APSP",,"Apera spica-venti (L.) P. Beauv.",loose silkybent
"APAM",,"Apios americana Medik.",groundnut
"APGR2",,"Apium graveolens L.",wild celery
"APGRD",,"Apium graveolens L. var. dulce (Mill.) DC.",wild celery
"APHY",,"Aplectrum hyemale (Muhl. ex Willd.) Torr.",Adam and Eve
"APFL",,"Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum]",
"APAN2",,"Apocynum androsaemifolium L.",spreading dogbane
"APCA",,"Apocynum cannabinum L.",Indianhemp
"AQCA",,"Aquilegia canadensis L.",red columbine
"AQVU",,"Aquilegia vulgaris L.",European columbine
"ARTH",,"Arabidopsis thaliana (L.) Heynh.",mouseear cress
"ARCA",,"Arabis canadensis L.",sicklepod
"ARDR",,"Arabis drummondii A. Gray",Drummond's rockcress
"ARGL",,"Arabis glabra (L.) Bernh.",tower rockcress
"ARHI",,"Arabis hirsuta (L.) Scop.",hairy rockcress
"ARHIP",,"Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins",creamflower rockcress
"ARLA",,"Arabis laevigata (Muhl. ex Willd.) Poir.",smooth rockcress
"ARLAL",,"Arabis laevigata (Muhl. ex Willd.) Poir. var. laevigata ",smooth rockcress
"ARLY2",,"Arabis lyrata L.",lyrate rockcress
"ARMI5",,"Arabis missouriensis Greene",green rockcress
"ARPR3",,"Arabis procurrens Waldst. & Kit., nom. inq.",running rockcress
"ARHY",,"Arachis hypogaea L.",peanut
"ARHI2",,"Aralia hispida Vent.",bristly sarsaparilla
"ARNU2",,"Aralia nudicaulis L.",wild sarsaparilla
"ARRA",,"Aralia racemosa L.",American spikenard
"ARRAR",,"Aralia racemosa L. ssp. racemosa ",American spikenard
"ARSP2",,"Aralia spinosa L.",devil's walkingstick
"ARPU3",,"Arceuthobium pusillum Peck",eastern dwarf mistletoe
"ARLA3",,"Arctium lappa L.",greater burdock
"ARMI2",,"Arctium minus Bernh.",lesser burdock
"ARTO",,"Arctium tomentosum Mill.",woolly burdock
"ARUV",,"Arctostaphylos uva-ursi (L.) Spreng.",kinnikinnick
"ARST2",,"Arctotis stoechadifolia P.J. Bergius",African daisy
"ARSE2",,"Arenaria serpyllifolia L.",thymeleaf sandwort
"ARBU",,"Arethusa bulbosa L.",dragon's mouth
"ARAL3",,"Argemone albiflora Hornem.",bluestem pricklypoppy
"ARALA2",,"Argemone albiflora Hornem. ssp. albiflora ",bluestem pricklypoppy
"ARME4",,"Argemone mexicana L.",Mexican pricklypoppy
"ARAN7",,"Argentina anserina (L.) Rydb.",silverweed cinquefoil
"AREG",,"Argentina egedii (Wormsk.) Rydb.",Pacific silverweed
"AREGG",,"Argentina egedii (Wormsk.) Rydb. ssp. groenlandica (Tratt.) Á. Löve",Pacific silverweed
"ARDR3",,"Arisaema dracontium (L.) Schott",green dragon
"ARTR",,"Arisaema triphyllum (L.) Schott",Jack in the pulpit
"ARTRP",,"Arisaema triphyllum (L.) Schott ssp. pusillum (Peck) Huttleston",Jack in the pulpit
"ARTRS",,"Arisaema triphyllum (L.) Schott ssp. stewardsonii (Britton) Huttleston",Jack in the pulpit
"ARTRT3",,"Arisaema triphyllum (L.) Schott ssp. triphyllum ",Jack in the pulpit
"ARBA2",,"Aristida basiramea Engelm. ex Vasey",forked threeawn
"ARDI4",,"Aristida dichotoma Michx.",churchmouse threeawn
"ARDID",,"Aristida dichotoma Michx. var. dichotoma ",churchmouse threeawn
"ARLO16",,"Aristida longespica Poir.",slimspike threeawn
"ARLOG6",,"Aristida longespica Poir. var. geniculata (Raf.) Fernald",slimspike threeawn
"ARLOL3",,"Aristida longespica Poir. var. longespica ",slimspike threeawn
"AROL",,"Aristida oligantha Michx.",prairie threeawn
"ARPU8",,"Aristida purpurascens Poir.",arrowfeather threeawn
"ARPUP4",,"Aristida purpurascens Poir. var. purpurascens ",arrowfeather threeawn
"ARTU",,"Aristida tuberculosa Nutt.",seaside threeawn
"ARCL",,"Aristolochia clematitis L.",birthwort
"ARMA7",,"Aristolochia macrophylla Lam.",pipevine
"ARTO3",,"Aristolochia tomentosa Sims",woolly dutchman's pipe
"ARRU4",,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",horseradish
"ARAT",,"Arnoglossum atriplicifolium (L.) H. Rob.",pale Indian plantain
"ARPR2",,"Aronia ×prunifolia (Marshall) Rehder, (pro sp.) [arbutifolia × melanocarpa]",purple chokeberry
"ARAR7",,"Aronia arbutifolia (L.) Pers.",red chokeberry
"ARME6",,"Aronia melanocarpa (Michx.) Elliott",black chokeberry
"AREL3",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl",tall oatgrass
"ARELB",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl var. bulbosum (Willd.) Spenner",tall oatgrass
"ARELE",,"Arrhenatherum elatius (L.) P. Beauv. ex J. Presl & C. Presl var. elatius ",tall oatgrass
"ARAB2",,"Artemisia abrotanum L.",southernwood
"ARAB3",,"Artemisia absinthium L.",absinthium
"ARAN3",,"Artemisia annua L.",sweet sagewort
"ARBI2",,"Artemisia biennis Willd.",biennial wormwood
"ARBIB",,"Artemisia biennis Willd. var. biennis ",biennial wormwood
"ARCA12",,"Artemisia campestris L.",field sagewort
"ARCAB2",,"Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem.",field sagewort
"ARCAC",,"Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.",field sagewort
"ARDR4",,"Artemisia dracunculus L.",tarragon
"ARFR4",,"Artemisia frigida Willd.",prairie sagewort
"ARLU",,"Artemisia ludoviciana Nutt.",white sagebrush
"ARLUL2",,"Artemisia ludoviciana Nutt. ssp. ludoviciana ",white sagebrush
"ARLUM2",,"Artemisia ludoviciana Nutt. ssp. mexicana (Willd. ex Spreng.) D.D. Keck",white sagebrush
"ARPO4",,"Artemisia pontica L.",Roman wormwood
"ARST6",,"Artemisia stelleriana Besser",oldwoman
"ARTR2",,"Artemisia tridentata Nutt.",big sagebrush
"ARTRT",,"Artemisia tridentata Nutt. ssp. tridentata ",basin big sagebrush
"ARVU",,"Artemisia vulgaris L.",common wormwood
"ARHI3",,"Arthraxon hispidus (Thunb.) Makino",small carpetgrass
"ARDI8",,"Aruncus dioicus (Walter) Fernald",bride's feathers
"ARDID2",,"Aruncus dioicus (Walter) Fernald var. dioicus ",bride's feathers
"ASCA",,"Asarum canadense L.",Canadian wildginger
"ASAM",,"Asclepias amplexicaulis Sm.",clasping milkweed
"ASEX",,"Asclepias exaltata L.",poke milkweed
"ASIN",,"Asclepias incarnata L.",swamp milkweed
"ASINI",,"Asclepias incarnata L. ssp. incarnata ",swamp milkweed
"ASINP2",,"Asclepias incarnata L. ssp. pulchra (Ehrh. ex Willd.) Woodson",swamp milkweed
"ASPU2",,"Asclepias purpurascens L.",purple milkweed
"ASQU",,"Asclepias quadrifolia Jacq.",fourleaf milkweed
"ASSY",,"Asclepias syriaca L.",common milkweed
"ASTU",,"Asclepias tuberosa L.",butterfly milkweed
"ASTUT2",,"Asclepias tuberosa L. ssp. tuberosa ",butterfly milkweed
"ASVE",,"Asclepias verticillata L.",whorled milkweed
"ASOF",,"Asparagus officinalis L.",garden asparagus
"ASPR",,"Asperugo procumbens L.",German-madwort
"ASAR2",,"Asperula arvensis L.",blue woodruff
"ASEB",,"Asplenium ×ebenoides R.R. Scott (pro sp.) [platyneuron × rhizophyllum]",spleenwort
"ASMO2",,"Asplenium montanum Willd.",mountain spleenwort
"ASPL",,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb.",ebony spleenwort
"ASPLP",,"Asplenium platyneuron (L.) Britton, Sterns & Poggenb. var. platyneuron ",ebony spleenwort
"ASRH2",,"Asplenium rhizophyllum L.",walking fern
"ASRU2",,"Asplenium ruta-muraria L.",wallrue
"ASRUC",,"Asplenium ruta-muraria L. var. cryptolepis (Fernald) Wherry",wallrue
"ASTR2",,"Asplenium trichomanes L.",maidenhair spleenwort
"ASTRQ",,"Asplenium trichomanes L. ssp. quadrivalens D.E. Mey.",maidenhair spleenwort
"ASTRT",,"Asplenium trichomanes L. ssp. trichomanes ",maidenhair spleenwort
"ASTA",,"Aster tataricus L. f.",Tatarian aster
"ASCO17",,"Astragalus contortuplicatus L.",Hungarian milkvetch
"ASGL4",,"Astragalus glycyphyllos L.",licorice milkvetch
"ASNE2",,"Astragalus neglectus (Torr. & A. Gray) Sheldon",Cooper's milkvetch
"ATFI",,"Athyrium filix-femina (L.) Roth",common ladyfern
"ATFIA",,"Athyrium filix-femina (L.) Roth ssp. angustum (Willd.) R.T. Clausen",subarctic ladyfern
"ATFIA2",,"Athyrium filix-femina (L.) Roth ssp. asplenioides (Michx.) Hultén",asplenium ladyfern
"ATCR2",,"Atriplex cristata Humb. & Bonpl. ex Willd.",crested saltbush
"ATGL",,"Atriplex glabriuscula Edmondston",Scotland orache
"ATGLG",,"Atriplex glabriuscula Edmondston var. glabriuscula ",northeastern saltbush
"ATHO",,"Atriplex hortensis L.",garden orache
"ATLI3",,"Atriplex littoralis L.",grassleaf orache
"ATPA4",,"Atriplex patula L.",spear saltbush
"ATPR",,"Atriplex prostrata Bouchér ex DC.",triangle orache
"ATRO",,"Atriplex rosea L.",tumbling saltweed
"ATSI2",,"Atriplex sibirica L.",Siberian saltbush
"ATSU2",,"Atriplex subspicata (Nutt.) Rydb.",saline saltbush
"AUFL",,"Aureolaria flava (L.) Farw.",smooth yellow false foxglove
"AUFLF",,"Aureolaria flava (L.) Farw. var. flava ",smooth yellow false foxglove
"AUPE2",,"Aureolaria pedicularia (L.) Raf.",fernleaf yellow false foxglove
"AUPEI",,"Aureolaria pedicularia (L.) Raf. var. intercedens Pennell",fernleaf yellow false foxglove
"AUPEP",,"Aureolaria pedicularia (L.) Raf. var. pedicularia ",fernleaf yellow false foxglove
"AUVI",,"Aureolaria virginica (L.) Pennell",downy yellow false foxglove
"AUSA",,"Aurinia saxatilis (L.) Desv.",basket of gold
"AVBA",,"Avena barbata Pott ex Link",slender oat
"AVFA",,"Avena fatua L.",wild oat
"AVHY",,"Avena hybrida Peterm. ex Rchb.",oat
"AVSA",,"Avena sativa L.",common oat
"AVST2",,"Avena strigosa Schreb.",black oats
"AVPU2",,"Avenula pubescens (Huds.) Dumort.",downy alpine oatgrass
"AXAM",,"Axyris amaranthoides L.",Russian pigweed
"AZCA",,"Azolla caroliniana Willd.",Carolina mosquitofern
"BAHA",,"Baccharis halimifolia L.",eastern baccharis
"BANI",,"Ballota nigra L.",black horehound
"BANIN",,"Ballota nigra L. var. nigra ",black horehound
"BAAU",,"Baptisia australis (L.) R. Br.",blue wild indigo
"BAAUA",,"Baptisia australis (L.) R. Br. var. australis ",blue wild indigo
"BABR2",,"Baptisia bracteata Muhl. ex Elliott",longbract wild indigo
"BABRL2",,"Baptisia bracteata Muhl. ex Elliott var. leucophaea (Nutt.) Kartesz & Gandhi",longbract wild indigo
"BATI",,"Baptisia tinctoria (L.) R. Br.",horseflyweed
"BAVE",,"Barbarea verna (Mill.) Asch.",early yellowrocket
"BAVU",,"Barbarea vulgaris W.T. Aiton",garden yellowrocket
"BAPA2",,"Bartonia paniculata (Michx.) Muhl.",twining screwstem
"BAPAI",,"Bartonia paniculata (Michx.) Muhl. ssp. iodandra (B.L. Rob.) J.M. Gillett",twining screwstem
"BAPAP",,"Bartonia paniculata (Michx.) Muhl. ssp. paniculata ",twining screwstem
"BAVI3",,"Bartonia virginica (L.) Britton, Sterns & Poggenb.",yellow screwstem
"BAHI3",,"Bassia hirsuta (L.) Asch.",hairy smotherweed
"BAHY",,"Bassia hyssopifolia (Pall.) Kuntz",fivehorn smotherweed
"BASC5",,"Bassia scoparia (L.) A.J. Scott",burningbush
